year,agency,field,value
2009,FMSHRC,litigation_cost,0.00
2010,FMSHRC,litigation_cost,0.00
2011,FMSHRC,litigation_cost,0.00
2012,FMSHRC,litigation_cost,0.00
2013,FMSHRC,litigation_cost,0.00
2014,FMSHRC,litigation_cost,0.00
2015,FMSHRC,litigation_cost,0.00
2016,FMSHRC,litigation_cost,0.00
2017,FMSHRC,litigation_cost,0.00
2018,FMSHRC,litigation_cost,0.00
2019,FMSHRC,litigation_cost,0.00
2020,FMSHRC,litigation_cost,0.00
2021,FMSHRC,litigation_cost,0.00
2022,FMSHRC,litigation_cost,0.00
2023,FMSHRC,litigation_cost,0.00
2024,FMSHRC,litigation_cost,0.00
2008,FOMC,litigation_cost,0.00
2009,FOMC,litigation_cost,0.00
2010,FOMC,litigation_cost,0.00
2011,FOMC,litigation_cost,0.00
2012,FOMC,litigation_cost,0.00
2013,FOMC,litigation_cost,0.00
2014,FOMC,litigation_cost,0.00
2015,FOMC,litigation_cost,0.00
2016,FOMC,litigation_cost,0.00
2017,FOMC,litigation_cost,0.00
2018,FOMC,litigation_cost,0.00
2019,FOMC,litigation_cost,0.00
2020,FOMC,litigation_cost,0.00
2021,FOMC,litigation_cost,0.00
2022,FOMC,litigation_cost,0.00
2023,FOMC,litigation_cost,0.00
2024,FOMC,litigation_cost,0.00
2022,FPISC,litigation_cost,0.00
2023,FPISC,litigation_cost,0.00
2024,FPISC,litigation_cost,0.00
2008,FRB,litigation_cost,0.00
2009,FRB,litigation_cost,444453.00
2010,FRB,litigation_cost,310000.00
2011,FRB,litigation_cost,200000.00
2012,FRB,litigation_cost,97344.00
2013,FRB,litigation_cost,100000.00
2014,FRB,litigation_cost,12500.00
2015,FRB,litigation_cost,19265.00
2016,FRB,litigation_cost,38000.00
2017,FRB,litigation_cost,60000.00
2018,FRB,litigation_cost,22228.00
2019,FRB,litigation_cost,14089.00
2020,FRB,litigation_cost,39867.00
2021,FRB,litigation_cost,138653.00
2022,FRB,litigation_cost,156996.00
